name,category,query,unit,tags
First Airplane Flight,history,date first airplane flight,date,"world, tech"
Lightbulb Invented,history,date lightbulb invented,date,"world, tech"
Normandy Invasion,history,date normandy invasion,date,world
Discovery of Plutonium,history,date discovery of plutonium,date,science
California Gold Rush,history,date california gold rush,date,usa
JFK Assassination,history,date JFK Assassination,date,usa
MLK Assassination,history,date MLK assassination,date,usa
Fall of Berlin Wall,history,date fall of Berlin Wall,date,world
Pearl Harbor Attack,history,date Pearl Harbor attack,date,usa
Great Depression,history,date Great Depression,date,usa
First Moon Landing,history,date First Moon landing,date,"usa, tech"
Great Wall of China built,history,date Great Wall of China built,date,usa