Starbucks,company,founded,date
Ford,company,founded,date
McDonalds,company,founded,date
Burger King,company,founded,date
Walmart,company,founded,date
Costco,company,founded,date
Chevron,company,founded,date
Microsoft,company,founded,date
Amazon,company,founded,date
Verizon,company,founded,date
IBM,company,founded,date
Intel,company,founded,date
Home Depot,company,founded,date
Target,company,founded,date
Coca Cola,company,founded,date
Safeway,company,founded,date
Nike,company,founded,date
Macy's,company,founded,date